Judet,Nume Unitati,Tip,Latitudine,Longitudine
Sibiu,"Liceul Teoretic ""Onisifor Ghibu"" Sibiu",Liceu Teoretic,45.7899679,24.1351508
Sibiu,"Liceul Teoretic Constantin Noica Sibiu, Județul Sibiu",Liceu Teoretic,45.7773289,24.1542112
Sibiu,"Școala Gimnazială ""Radu Selejan"" Sibiu, Județul Sibiu",Școală Gimnazială,45.7834008,24.167234
Sibiu,"Școala Gimnazială Alma-Structura Șmig, Sibiu",Școală Gimnazială,46.2260117,24.4441069
Sibiu,"Școala Gimnazială ""Ion Luca Caragiale"" Sibiu",Școală Gimnazială,45.7766134,24.1415077
Sibiu,Şcoala Gimnazială Nr.25 Sibiu,Şcoală Gimnazială,45.7689187,24.1276181
Sibiu,"Şcoala Gimnazială Blăjel, Sibiu",Şcoală Gimnazială,46.2058516,24.3224312
Sibiu,"Școala Gimnazială Nr.21, Sibiu",Școală Gimnazială,45.7806458,24.1588699
Sibiu,"Școala Gimnazială Șeica Mare, Sibiu",Școală Gimnazială,46.0239949,24.1582483
Sibiu,"Colegiul Național Pedagogic ""Andrei Șaguna"" Sibiu",Colegiu Național Pedagogic,45.7820798,24.1540857
Sibiu,"Școala Gimnazială nr.10 Sibiu, județul Sibiu",Școală Gimnazială,45.7895633,24.1183376
Suceava,"Colegiul Tehnic ""Samuil Isopescu"" - C.J.R.A. E., Suceava, județul Suceava",Colegiu Tehnic,47.6388968,26.2603124
Suceava,"Clubul Sportiv Şcolar Rădăuţi, localitatea Rădăuţi, județul Suceava",Clubul Sportiv Şcolar,47.8413129,25.9256751
Suceava,"Grădinița cu Program Normal ""Țăndărică"" Suceava, județul Suceava",Grădinița cu Program Normal,47.6379813,26.2338051
Suceava,"Colegiul Tehnic ""Samuil Isopescu"", județul Suceava",Colegiu Tehnic,47.6388968,26.2603124
Teleorman,"Colegiul Național ""Unirea"", din localitatea Turnu Măgurele, județul Teleorman",Colegiu Național,43.7441888,24.8680633
Teleorman,"Școala Gimnazială Lisa, localitatea Lisa, județul Teleorman",Școală Gimnazială,43.7930133,25.1451652
Teleorman,"Școala Gimnazială Bogdana, județul Teleorman",Școală Gimnazială,43.9214924,25.0921803
Timiș,"Liceul Teologic Romano-Catolic ""Gerhardinum"", județul Timiș",Liceu Teologic Romano-Catolic,45.7529174,21.2219155
Timiș,"Liceul Teoretic Recaș, din localitatea Recaș, județul Timiș",Liceu Teoretic,45.8011245,21.5127677
Timiș,"Școala Gimnazială Anghel Saligny Banloc și Școala Gimnazială Livezile, din localitatea Banloc județul Timiș",Școală Gimnazială,45.3898896,21.1392785
Timiș,"Liceul Teoretic Buziaș, Județul Timiș",Liceu Teoretic,45.6473823,21.6050621
Timiș,"Colegiul Național Pedagogic ""Carmen Sylva"" Timișoara, județul Timiș",Colegiu Național Pedagogic,45.7540748,21.2358498
Tulcea,"Seminarul Teologic Ortodox Sf. ""loan Casian"" Tulcea, structura Grădinița cu Program Prelungit nr. 12 Tulcea, județul Tulcea",Seminarul Teologic Ortodox,45.1776773,28.7871502
Tulcea,"Școala Gimnazială Dorobanțu, județul Tulcea",Școală Gimnazială,44.9593381,28.2852791
Vâlcea,"Colegiul Economic Râmnicu Vâlcea, din mun. Râmnicu Vâlcea, județul Vâlcea",Colegiu Economic,45.095206,24.3608234
Vâlcea,"Liceul ""Preda Buzescu"" Berbești, județul Vâlcea",Liceu,44.9749737,23.8622905
Vâlcea,"Școala Gimnazială nr.13/G.P.P.Ostroveni 3, localitatea Râmnicu Vâlcea, județul Vâlcea",Școală Gimnazială,45.0948983,24.3756188
Vaslui,"Școala Gimnazială Nr.1 / G.P.N. Sat Lunca Banului, județul Vaslui",Școală Gimnazială,46.5973081,28.1673685
Vaslui,"Școala Gimnazială ""Elena Cuza"" Vaslui, Vaslui, județul Vaslui",Școală Gimnazială,46.6357918,27.7273404
Vaslui,"Centrul Școlar de Educație Incluzivă din localitatea Negrești, județul Vaslui",Centrul Școlar de Educație Incluzivă,46.8368943,27.4594818
Vaslui,"Școala Gimnazială ""Gheorghe Cioata"" Sat Todiresti, Județul Vaslui",Școală Gimnazială,46.8412411,27.3835359
Vaslui,"Școala Gimnazială "" Ion Murgeanu "" Zorleni"", județul Vaslui",Școală Gimnazială,46.2635888,27.7195845
Vrancea,"Grădinița cu Program normal Lizuca, stuctură a Liceului Tehnologic ""Eremia Grigorescu"", Mărăștești, localitatea Mărășești, județul Vrancea",Grădinița cu Program normal,45.5449818,27.4978405
Vrancea,"Școala Gimnazială Bălești, Comuna Bălești, județul Vrancea",Școală Gimnazială,45.4413965,27.236982
