Judet,Nume Unitati,Tip,Latitudine,Longitudine
București,"Liceul Teoretic Hyperion, sector 3, București",Liceu Teoretic,44.4283735,26.1375975
București,"Școala Primară Conil, București",Școală Primară,44.4107366,26.0281494
București,"Colegiul Național Gheorghe Șincai, București",Colegiu Național,44.4142473,26.1036877
București,"Școala Gimnazială ""Cezar Bolliac"", București",Școală Gimnazială,44.4289803,26.1376437
București,"Școala Gimnazială nr 86, București",Școală Gimnazială,44.4231915,26.1478977
București,"Școala Gimnazială ""Ion Heliade Rădulescu"" București",Școală Gimnazială,44.4552333,26.0836501
București,"Școala ""Gimnazială General Eremia Grigorescu"", București",Școală Gimnazială,44.3807159,26.13715
București,"Liceul Teoretic ""Benjamin Franklin"", sector 5, municipiul București",Liceu Teoretic,44.4295661,26.1524015
București,"Școala Gimnazială Nr. 195, Sector 3, București",Școală Gimnazială,44.4212797,26.1611248
Buzău,"Școala Gimnazială ""înv. Clemența Beșchea"" Căpățânești, localitatea Mărăcineni, județul Buzău",Școală Gimnazială,45.1857205,26.8009964
Buzău,"Școala Gimnazială ""Gheorghe Vernescu"", municipiul Râmnicu Sarat, județul Buzău",Școală Gimnazială,45.3725097,27.0504909
Buzău,"Școala Gimnazială Nr.7, județul Buzău",Școală Gimnazială,45.1487617,26.8390216
Caraş-Severin,"Colegiul Național ""Mircea Eliade"", Reșița",Colegiu Național,45.3223157,21.8841732
Călăraşi,"Liceul Teoretic ""Mihai Eminescu"" Călarași, județul Călarași",Liceu Teoretic,44.202313,27.3169589
Călăraşi,"Școala Gimnazială ""Mircea Vodă"", Călărași, județul Călarași",Școală Gimnazială,44.20209,27.3079243
Cluj,"Școala Gimnazială ""Iuliu Hațieganu"",Cluj-Napoca, județul Cluj",Școală Gimnazială,46.7570087,23.5511161
Cluj,"Grădinița cu Program Prelungit ""Lumea Copiilor"" Cluj-Napoca, județul Cluj",Grădinița cu Program Prelungit,46.7780508,23.6162601
Cluj,"Colegiul Național Pedagogic ""Gheorghe Lazăr"" Cluj-Napoca",Colegiu Național Pedagogic,46.7709082,23.6276387
Constanţa,"Şcoala Gimnazială nr.8 Constanţa, judeţul Constanţa",Şcoală Gimnazială,44.1716112,28.6164176
Constanța,"Grădinița cu Program Prelungit nr. 33 Constanța, județul Constanța",Grădinița cu Program Prelungit,44.1882682,28.6285026
